薬品名：,
期間：,2025/ 5/ 1～2025/12/ 8
回転数：,0以下
薬価：,
使用期限：,
経過措置：,なし
管理区分：,すべて
余剰在庫金額：,502132円
No.,管理区分,薬品名,剤区分,薬価,全在庫数,回転数,経過措置日,使用期限,ロット番号,在庫数量,原価,金額,登録,登録数,備考
1,調剤,アイファガン点眼液０．１％,,268.90,20,0.00,,2027/ 4,G375,20,268.88,5378,0,,
2,調剤,アスタットクリーム１％,,19.10,60,0.00,,, ,60,18.12,1087,0,,
3,調剤,アスピリン（山善）,,4.91,20.35,0.00,,2027/ 3,A4D08,20.35,12,244,0,,
4,調剤,アスベリン錠１０　１０ｍｇ,,13.10,300,0.00,,2027/12,K215A,300,13.10,3930,0,,
5,調剤,アセトアミノフェンＤＳ小児用２０％「トーワ」,劇薬,17.00,59,0.00,,, ,59,7.36,434,0,,
6,調剤,アドエア２５０ディスカス６０吸入用　６０ブリスター,,3625.30,1,0.00,,2026/ 4,R38J,1,3197,3197,0,,
7,調剤,アプレピタントカプセル１２５ｍｇ「サワイ」,,1032.10,5,0.00,,2026/ 3,X23501,5,811.50,4058,0,,
8,調剤,アマージ錠２．５ｍｇ,劇薬,277.40,9,0.00,,2027/ 8,XB2M,9,249.30,2244,0,,
9,調剤,アマルエット配合錠４番「サワイ」,劇薬,20.40,129,0.00,,2026/ 6,124605,100,15.74,1574,0,,
10,調剤,アマルエット配合錠４番「サワイ」,劇薬,20.40,129,0.00,,2026/ 5,124503,29,15.74,456,0,,
11,調剤,アムロジピン錠２．５ｍｇ「ＶＴＲＳ」,劇薬,10.40,100,0.00,,, ,100,10.10,1010,0,,
12,調剤,アルクロメタゾンプロピオン酸エステル軟膏０．１％「イワキ」,,28.30,100,0.00,,2027/ 6,47040,100,25.72,2572,0,,
13,調剤,アルダクトンＡ錠５０ｍｇ,,27.20,140,0.00,,2028/ 8,HN6552,100,26.51,2651,0,,
14,調剤,アルダクトンＡ錠５０ｍｇ,,27.20,140,0.00,,, ,40,26.51,1060,0,,
15,調剤,アルファロールカプセル１μｇ,劇薬,10.50,70,0.00,,2028/ 5,23E540Z,70,8.96,627,0,,
16,調剤,イコサペント酸エチル粒状カプセル９００ｍｇ「サワイ」,,41.20,43,0.00,,2026/ 7,X23731,43,37.44,1610,0,,
17,調剤,イコサペント酸エチル粒状カプセル９００ｍｇ「モチダ」,,41.20,84,0.00,,2028/ 3,418,84,41.20,3461,0,,
18,調剤,イミダフェナシンＯＤ錠０．１ｍｇ「杏林」,,16.30,250,0.00,,, ,150,14.53,2180,0,,
19,調剤,イミダフェナシンＯＤ錠０．１ｍｇ「杏林」,,16.30,250,0.00,,2026/ 7,E037,100,14.53,1453,0,,
20,調剤,イリボー錠２．５μｇ,劇薬,37.30,100,0.00,,2028/ 1,25001R1,100,37.30,3730,0,,
21,調剤,ウレパールローション１０％,,3.90,180,0.00,,2027/ 2,M4B71,180,3.44,619,0,,
22,調剤,エクラーローション０．３％,,12.60,120,0.00,,, ,120,12.04,1445,0,,
23,調剤,エクラー軟膏０．３％,,12.60,100,0.00,,, ,100,12.06,1206,0,,
24,調剤,エコリシン眼軟膏,,60.60,35,0.00,,2027/ 6,ECN1146,35,60.60,2121,0,,
25,調剤,エナラプリルマレイン酸塩錠２．５ｍｇ「サワイ」,,10.40,80,0.00,,, ,80,7.72,618,0,,
26,調剤,エビスタ錠６０ｍｇ,,51.40,70,0.00,,2026/ 3,E6319A,70,43.20,3024,0,,
27,調剤,エビリファイ内用液０．１％,劇薬,33.00,24,0.00,,2026/ 8,4H97YL1,24,33,792,0,,
28,調剤,エピナスチン塩酸塩点眼液０．０５％「トーワ」,,80.60,55,0.00,,2027/ 5,A0030,55,78.38,4311,0,,
29,調剤,エンペシドクリーム１％,,11.30,90,0.00,,2027/ 8,JP80040,90,9.33,840,0,,
30,調剤,オキサトミド錠３０ｍｇ「サワイ」,,6.10,280,0.00,,2026/ 8,523802,200,4.67,934,0,,
31,調剤,オキサトミド錠３０ｍｇ「サワイ」,,6.10,280,0.00,,, ,80,4.67,374,0,,
32,調剤,オキシコドン徐放カプセル５ｍｇ「テルモ」,麻薬,121.40,114,0.00,,, ,114,82.55,9411,0,,
33,調剤,オキシコドン徐放錠１０ｍｇＮＸ「第一三共」,麻薬,233.60,12,0.00,,, ,12,147.15,1766,0,,
34,調剤,オキノーム散２．５ｍｇ,麻薬,53.80,21,0.00,,, ,21,46.83,983,0,,
35,調剤,オキノーム散５ｍｇ,麻薬,111.20,16,0.00,,, ,16,111.20,1779,0,,
36,調剤,オセルタミビルＤＳ３％「トーワ」,,79.50,150,0.00,,2028/ 2,A0001,150,70.83,10625,0,,
37,調剤,オセルタミビルカプセル７５ｍｇ「サワイ」,,111.60,50,0.00,,2030/ 3,124812,50,89.50,4475,0,,
38,調剤,オゼックス点眼液０．３％,,78.50,50,0.00,,2028/ 7,P030,50,78.50,3925,0,,
39,調剤,オフロキサシン点眼液０．３％「ニットー」,,30.50,60,0.00,,2028/ 4,250021,50,30.50,1525,0,,
40,調剤,オフロキサシン点眼液０．３％「ニットー」,,30.50,60,0.00,,, ,10,30.50,305,0,,
41,調剤,オプソ内服液５ｍｇ　２．５ｍＬ,麻薬,263.30,6,0.00,,, ,6,96.25,578,0,,
42,調剤,オラドールＳトローチ０．５ｍｇ,,8.90,70,0.00,,, ,70,4.48,314,0,,
43,調剤,オランザピンＯＤ錠１０ｍｇ「アメル」,劇薬,30.70,40,0.00,,, ,40,21.92,877,0,,
44,調剤,オランザピンＯＤ錠５ｍｇ「アメル」,劇薬,17.00,273,0.00,,2027/ 4,2406,173,14.81,2562,0,,
45,調剤,オランザピンＯＤ錠５ｍｇ「アメル」,劇薬,17.00,273,0.00,,2027/ 6,2409,100,14.81,1481,0,,
46,調剤,カペシタビン錠３００ｍｇ「日医工」,劇薬,54.10,6,0.00,,2026/11,KK2801,6,54,324,0,,
47,調剤,カルテオロール塩酸塩ＬＡ点眼液２％「わかもと」,,148.60,12.5,0.00,,2027/ 7,4743,12.5,114.56,1432,0,,
48,調剤,ガスコン錠８０ｍｇ,,6.10,127,0.00,,2026/ 9,CTZ1202,100,4.46,446,0,,
49,調剤,ガスコン錠８０ｍｇ,,6.10,127,0.00,,2026/ 9,CTX0201,27,4.46,120,0,,
50,調剤,ガスター散１０％,,59.80,47.2,0.00,,2026/11,23001T1,47.2,49.38,2331,0,,
51,調剤,ガランタミンＯＤ錠１２ｍｇ「ニプロ」,劇薬,36.00,90,0.00,,2026/ 4,23J011,90,25.19,2267,0,,
