"ブロック","選択なし",,,,,,,,,,,,,,,,,,,,,,,,,
"店舗","あやめ薬局",,,,,,,,,,,,,,,,,,,,,,,,,
"薬品名","","部分一致",,,,,,,,,,,,,,,,,,,,,,,,
"メーカー名","","部分一致",,,,,,,,,,,,,,,,,,,,,,,,
"非表示設定","非表示以外",,,,,,,,,,,,,,,,,,,,,,,,,
"薬品区分","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"剤型","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"経過措置日","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"管理区分","- すべて -",,,,,,,,,,,,,,,,,,,,,,,,,
"集計期間","2025年09月01日 ～ 2025年12月07日",,,,,,,,,,,,,,,,,,,,,,,,,
"在庫数量","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"算定時除外対象薬","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"後発品(GE)","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"ハイリスク薬","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"新薬創出・適応外薬解消等促進加算","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"管理薬剤","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"日本薬局方","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"日本薬局方","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"漢方","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"オーファン","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"不動在庫商品のみ","すべて",,,,,,,,,,,,,,,,,,,,,,,,,
"出力日","2025/12/08",,,,,,,,,,,,,,,,,,,,,,,,,
"後発品構成比　 　　　","95.95%","後発品処方換算数量　 　 　　","355,525.30","処方換算数量合計　 　　　","370,530.10","後発品構成比（臨時）","97.80%","後発品処方換算数量（臨時）","299,419.80","処方換算数量合計（臨時）","306,124.60",,,,,,,,,,,,,,,
"No.","管理区分","レセ電コード","メーカー","薬品名","薬品区分","剤型","GE","ハイ","新創","局方","漢方","ｵｰﾌｧﾝ","除外","薬価","原価","単位","在庫数量","在庫金額","回転数","処方数量","処方金額","他出庫数量","他出庫金額","入庫数量","入庫金額","経過措置日"
"1","調剤","622622601","塩野義","ゾフルーザ錠２０ｍｇ","無し","内服","","","新創","","","","除外","2438.80","2438.80","錠","139.00","338993","4.16","389.00","948696","","","480.00","1170624",""
"2","調剤","622404401","武田薬品","タケキャブ錠１０ｍｇ","無し","内服","","","","","","","除外","94.30","94.30","錠","1790.00","168797","6.55","8811.00","830873","","","9700.00","914710",""
"3","調剤","622576101","第一三共","リクシアナＯＤ錠３０ｍｇ","無し","内服","","ハイ","新創","","","","除外","411.30","411.30","錠","287.00","118043","3.45","777.00","319579","","","900.00","370170",""
"4","調剤","628785801","塩野義","ゾコーバ錠１２５ｍｇ","劇薬","内服","","","","","","","除外","7090.00","7090.00","錠","14.00","99260","8.50","238.00","1687420","","","210.00","1488900",""
