薬品名：,
期間：,2025/ 5/ 1～2025/12/ 8
回転数：,0以下
薬価：,0円以上
使用期限：,
経過措置：,なし
管理区分：,すべて
余剰在庫金額：,320632円
No.,管理区分,薬品名,剤区分,薬価,全在庫数,回転数,経過措置日,使用期限,ロット番号,在庫数量,原価,金額,登録,登録数,備考
1,調剤,ｄ－クロルフェニラミンマレイン酸塩錠２ｍｇ「ＮＩＧ」,,5.90,205,0.00,,2027/ 6,H01429,200,5.13,1026,0,,
2,調剤,ｄ－クロルフェニラミンマレイン酸塩錠２ｍｇ「ＮＩＧ」,,5.90,205,0.00,,2027/ 6,H01425,5,5.13,26,0,,
3,調剤,アストミン錠１０ｍｇ,,6.80,100,0.00,,2027/ 6,K007R01,100,6.80,680,0,,
4,調剤,アスベリン散１０％,,17.40,64.7,0.00,,2027/ 3,J651A,64.7,10.59,685,0,64.70,
5,調剤,アズノールＳＴ錠口腔用５ｍｇ,,10.90,48,0.00,,, ,48,9.87,474,0,48.00,
6,調剤,アビラテロン酢酸エステル錠２５０ｍｇ「ＤＳＥＰ」,劇薬,1632.30,56,0.00,,2027/10,A0004,56,1632.30,91409,0,,
7,調剤,アマルエット配合錠３番「トーワ」,劇薬,14.00,500,0.00,,2027/12,B0111,300,14,4200,0,,
8,調剤,アマルエット配合錠３番「トーワ」,劇薬,14.00,500,0.00,,2027/12,B0110,100,14,1400,0,,
9,調剤,アマルエット配合錠３番「トーワ」,劇薬,14.00,500,0.00,,2027/12,B0108,100,14,1400,0,,
10,調剤,アメナリーフ錠２００ｍｇ,,1148.70,24,0.00,,2027/ 7,FS006,14,1148.71,16082,0,,
11,調剤,アメナリーフ錠２００ｍｇ,,1148.70,24,0.00,,2027/ 7,FS005,10,1148.71,11487,0,,
12,調剤,アルファロールカプセル０．５μｇ,劇薬,6.90,1,0.00,,2025/11,20K540Z,1,9.36,9,0,1.00,
13,調剤,アルファロールカプセル１μｇ,劇薬,10.50,85,0.00,,2027/11,22K530Z,85,11.04,938,0,,
14,調剤,イコサペント酸エチル粒状カプセル６００ｍｇ「モチダ」,,29.40,84,0.00,,2028/ 7,439,84,29.40,2470,0,,
15,調剤,イノラス配合経腸用液,,1.41,4312.5,0.00,,2025/10,C2411061,4312.5,1.22,5261,0,,
16,調剤,カルシトリオールカプセル０．２５μｇ「ＮＩＧ」,劇薬,6.10,100,0.00,,2027/12,LA021,100,5.55,555,0,,
17,調剤,カルボシステインドライシロップ５０％「ＮＩＧ」,,12.50,85.2,0.00,,2027/ 1,GR0287,85.2,11.13,948,0,85.20,
18,調剤,クービビック錠２５ｍｇ,,57.30,100,0.00,,2027/ 6,A002,100,57.30,5730,0,,
19,調剤,クロルフェネシンカルバミン酸エステル錠２５０ｍｇ「ツルハラ」,,6.50,10,0.00,,2027/ 8,407,10,5.78,58,0,,
20,調剤,ゲンタシン軟膏０．１％　１ｍｇ,,11.00,-10,0.00,,, ,-10,0,0,0,,
21,調剤,コートリル錠１０ｍｇ,,7.40,100,0.00,,2027/12,2495328,100,6.58,658,0,200,
22,調剤,サリベートエアゾール　５０ｇ,,369.10,1,0.00,,2025/ 9,1464,1,337.83,338,0,5,
23,調剤,シアノコバラミン点眼液０．０２％「日点」　５ｍＬ,,89.20,10,0.00,,2028/ 6,L257C7,10,89.20,892,0,,
24,調剤,シベノール錠１００ｍｇ,劇薬,29.30,22,0.00,,2027/ 8, BG052,22,29.36,646,0,22,
25,調剤,シルニジピン錠５ｍｇ「ＮＩＧ」,,10.40,100,0.00,,2027/10,H60115,100,9.36,936,0,,
26,調剤,シロスタゾールＯＤ錠１００ｍｇ「ケミファ」,,24.40,218,0.00,,2028/ 1,25513,100,19.52,1952,0,,
27,調剤,シロスタゾールＯＤ錠１００ｍｇ「ケミファ」,,24.40,218,0.00,,2028/ 4,25537,100,19.52,1952,0,,
28,調剤,シロスタゾールＯＤ錠１００ｍｇ「ケミファ」,,24.40,218,0.00,,2027/11,254134,18,19.52,351,0,,
29,調剤,ジアゼパム錠５ｍｇ「アメル」,向3,6.00,14,0.00,,, ,14,3.39,47,0,114,
30,調剤,ジクアス点眼液３％　５ｍＬ,,343.50,5,0.00,,2027/11,MS3019,5,304.70,1524,0,,
31,調剤,スピール膏Ｍ　２５ｃｍ２,,70.60,2,0.00,,2026/ 6, 3G18,2,74.20,148,0,,
32,調剤,スピリーバ１．２５μｇレスピマット６０吸入　７５μｇ,,1766.50,1,0.00,,2027/ 3,402422A,1,1523,1523,0,1,
33,調剤,スプラタストトシル酸塩カプセル１００ｍｇ「サワイ」,,20.30,300,0.00,,2028/ 4,125309,300,20.30,6090,0,,
34,調剤,セチリジン塩酸塩錠１０ｍｇ「サワイ」,,18.60,70,0.00,,2027/10,524X01,70,14.75,1033,0,,
35,調剤,セフジトレン　ピボキシル錠１００ｍｇ「ＳＷ」,,56.60,12,0.00,,, ,12,56.60,679,0,,
36,調剤,ゼスタッククリーム,,5.10,50,0.00,,2026/11,406041,50,4.71,236,0,200,
37,調剤,タリージェ錠２．５ｍｇ,,67.20,100,0.00,,2028/ 8,YAA2218,100,67.20,6720,0,,
